Goal	Female	Age14-16	Age17-19	Age>19	Tecnici	Licei	Other school	Angled	Defenders
0	1	0	1	0	0	0	0	0	0
1	1	0	1	0	0	0	0	0	0
1	1	0	1	0	0	0	0	0	0
0	0	0	1	0	0	0	0	1	1
1	0	0	1	0	0	0	0	0	1
1	1	0	1	0	0	0	0	0	0
1	1	1	0	0	0	0	0	0	0
1	0	0	1	0	0	1	0	0	0
1	1	0	0	1	0	1	0	0	0
0	1	0	1	0	0	1	0	0	0
1	1	0	1	0	0	1	0	0	1
0	0	0	1	0	0	1	0	1	1
1	1	0	1	0	0	1	0	0	0
1	0	0	1	0	0	1	0	0	1
1	1	0	0	0	0	0	1	0	0
1	1	0	0	0	0	0	1	0	0
1	0	0	0	0	0	0	1	0	0
1	0	0	0	0	0	0	1	0	0
1	0	0	0	1	0	1	0	0	0
0	1	0	1	0	0	1	0	1	0
0	1	0	1	0	0	1	0	0	0
0	0	0	0	0	0	0	1	1	0
1	0	0	0	0	0	0	1	0	0
0	0	0	0	1	1	0	0	1	1
1	0	0	0	1	0	1	0	1	1
1	1	0	0	1	0	0	0	0	0
0	1	0	1	0	0	0	0	1	0
1	0	0	1	0	0	0	0	0	0
0	0	0	0	1	1	0	0	1	1
0	0	0	0	1	0	1	0	1	1
0	0	0	0	1	1	0	0	1	0
1	0	0	0	1	0	0	1	0	0
0	0	0	0	0	0	0	1	1	1
1	0	0	1	0	1	0	0	1	1
0	0	0	1	0	0	0	0	1	1
0	0	0	1	0	0	0	0	1	1
0	0	0	1	0	0	1	0	1	1
0	0	0	1	0	0	1	0	1	1
0	0	0	1	0	0	1	0	1	1
1	0	1	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0
1	1	0	0	0	0	0	1	1	1
1	1	0	0	1	1	0	0	1	0
0	0	0	0	1	0	0	0	0	1
1	0	0	1	0	0	0	0	0	1
1	0	0	0	0	0	0	1	0	0
1	0	0	0	0	0	0	1	0	1
1	1	0	0	0	0	0	1	0	1
1	1	1	0	0	0	0	0	0	0
1	1	0	1	0	0	0	0	0	0
0	1	1	0	0	0	1	0	1	1
1	1	0	0	0	0	0	1	0	0
1	0	1	0	0	0	1	0	1	1
0	0	0	0	1	0	0	1	1	0
0	0	0	0	1	0	0	0	1	1
1	1	0	0	0	0	0	1	0	0
1	1	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	1
