Match id	team_A_wins	delta_age	delta_skill	delta_Yearly_frequency	delta_Preferred_role	 delta_women	First_goal
1	1	-9.5	0.5	-0.5	0	0	1
2	1	6	-0.5	-4.5	0	-2	1
3	1	-7.5	-2.5	6	0	0	0
4	0	-7.5	-2.5	6	0	0	0
5	0	-7.5	-2.5	6	0	0	0
6	1	3	4.5	13.5	-1	-2	1
7	1	3	4.5	13.5	-1	-2	1
8	1	3	4.5	13.5	1	-2	1
9	1	3	2.5	12	0	0	1
10	1	3	2.5	12	0	0	1
11	0	3	2.5	12	0	0	1
12	0	3	1	1	0	0	0
13	1	3	1	1	0	0	0
14	1	3	1	1	0	0	1
15	1	2.5	-1	-9.5	0	0	1
16	0	2.5	-1	-9.5	0	0	1
17	0	2.5	-1	-9.5	0	0	0
18	1	-4.5	-2	-9	1	0	1
19	1	-4.5	-2	-9	1	0	1
20	0	-4.5	-2	-9	1	0	1
21	1	-4.5	-2	-9	1	0	1
22	1	-14.5	-1	3	0	-1	1
23	0	-14.5	-1	3	0	-1	1
24	1	-14.5	-1	3	0	-1	1
25	0	1.5	-2	-13	0	0	1
26	1	3	3	-7	-1	0	1
27	1	3	0	8.5	-1	0	1
28	1	3	0	8.5	-1	0	1
29	0	14	-0.5	-3.5	1	0	0
30	0	14	-0.5	-3.5	1	0	0
31	0	-4	0	1.5	1	0	0
32	0	1.5	1.5	23.5	1	0	0
33	1	-1	2.5	20.5	0	0	0
34	1	-1	2.5	20.5	-2	0	1
35	1	-0.5	-1.5	-6.5	-1	0	1
36	1	-0.5	-1.5	-6.5	1	0	0
37	0	-4	-5	-13	0	1	0
38	0	-4	-5	-13	-1	1	0
39	0	27	-4	-6	-1	1	0
40	0	27	-4	-6	1	1	0
41	0	27	-3.5	-29	1	1	0
42	0	1.5	1.5	23.5	-1	0	1
43	0	4.5	-0.5	9	0	0	0
44	1	4.5	-0.5	9	0	0	1
45	1	4.5	-0.5	9	0	0	1
46	1	3	-2.5	12.5	-1	0	1
47	1	3	-2.5	12.5	-1	0	1
48	0	-3	2.5	-12.5	-1	0	0
49	1	-1.5	-2	3.5	2	0	1
50	0	-1.5	-2	3.5	2	0	1
51	1	-1.5	-2	3.5	2	0	1
52	1	-7	-2.5	-24.5	2	1	1
53	1	1	-1	1	-1	1	0
54	1	1	-1	1	-1	1	1
55	1	8	-1	-6.5	1	0	0
56	1	8	-1	-6.5	1	0	0
57	0	-5.5	4	101	0	-1	0
58	0	3	-5.5	43	1	0	0
59	1	4	-0.5	-48.5	0	-2	1
60	1	-14.5	3	2.5	1	0	0
61	1	-12	0.5	101	-1	0	0
62	1	-12	0.5	101	1	0	0
63	1	-4	-2.5	11	0	0	0
64	1	-4	-2.5	11	-2	0	0
65	1	-21.5	1	-0.5	1	1	1
66	1	-11.5	1	14	0	-1	0
67	1	-0.5	-2.5	-2	0	1	1
68	0	-0.5	-2.5	-2	0	1	0
69	1	7.5	-1	-6.5	0	0	1
70	0	4	-0.5	0.5	0	-2	0
71	0	-18	-5	-5.5	0	1	0
72	1	8.5	0	0	0	1	1
73	0	0.5	-1.5	-5	1	1	0
74	0	13.5	0.5	2	-1	1	1
75	1	2	-5	-3	1	0	1
76	0	-28	0	21	0	-1	0
77	0	21.5	-2.5	-13.5	0	0	0
78	1	1	1.5	5	0	0	0
79	0	1	-1	-10	1	0	0
80	0	1	1.5	5	0	0	0
81	0	1	-1	-10	1	0	0
82	0	0	-2.5	-15	1	0	0
83	0	7	-5	-2	0	1	0
84	0	-8.5	2.5	0.5	0	0	0
85	0	6.5	-0.5	0	0	1	0
86	0	-6.5	-3	-26	-1	1	0
87	0	-6.5	-3	-26	-1	1	0
88	1	-20	-1.5	42.5	0	0	0
89	1	-2	0	41	-1	-1	1
90	1	9.5	-3.5	7.5	-1	0	1
91	1	2.5	1.5	2.5	-1	0	0
92	0	-12	1.5	-1	0	0	1
93	0	-16.5	-1.5	-5	-1	0	1
94	1	-15.5	-2.5	5	-2	0	1
95	0	-46	-0.5	-5	0	0	1
96	1	3.5	1.5	-45	1	-1	0
97	1	3.5	1.5	-45	1	-1	0
98	0	5.5	0.5	-4.5	1	1	0
99	1	12	4.5	6	0	-2	1
100	1	2.5	0.5	-9	1	0	1
101	0	2.5	0.5	-9	1	0	0
102	1	-10	1	50.5	-1	-1	1
103	0	-0.5	2	-43.5	1	1	1
104	1	9	0	52	1	0	1
105	1	21	-0.5	-11	0	0	0
106	0	-0.5	-2.5	-4	1	1	0
107	0	-0.5	-2.5	-4	1	1	0
108	0	-1.5	-1	-3.5	0	1	1
109	0	-16	1	-7	0	-1	0
110	1	17.5	1.5	-1	2	1	0
111	0	13	-0.5	2	0	1	0
112	0	1	0	-2	1	0	0
113	0	-28	2	-127.5	-1	-1	0
114	1	-1	0	60	0	1	0
115	0	-1.5	1	41.5	0	0	1
116	1	17.5	0.5	-21.5	-1	0	0
117	1	21.5	0	21	-1	-1	0
118	1	5.5	0	-20.5	0	0	1
119	1	1.5	2	10	-1	1	1
120	0	33.5	-1	-147.5	0	2	1
121	1	-6	0.5	39.5	0	-1	1
122	0	-2	-2	-41.5	0	0	1
123	1	17.5	1.5	1.5	1	-2	1
124	0	25	-1	-10	-1	2	0
125	1	-2	-0.5	45	1	1	1
126	0	13.5	-1	-9	0	0	0
127	1	1	5	3.5	-1	0	1
128	0	8.5	-0.5	7	0	0	0
129	0	7	0	9	0	-1	1
130	0	7.5	-1	8	0	0	0
132	1	10	-0.5	46	0	0	1
133	1	0	-0.5	-1	0	0	1
134	0	12	-1.5	0	0	-1	1
135	0	-16.5	2.5	3	-1	0	0
136	0	-10.5	2	6.5	0	1	0
